Animal No.,Heart Girth,Body Length,Age in Years,Sex,Live Body Wt,
4-23bg2,52.29411765,57.18032787,0.073921971,Male,5.7,
26-22-1bg2,52.52941176,63.08196721,0.224503765,Male,7.6,
21-22-1bg2,47.41176471,71.1147541,0.257357974,Female,6.3,
13-21bg1,57.47058824,61.83606557,0.665297741,Female,18,
24-22bg2,52.94117647,69.24590164,0.613278576,Female,18.2,
62-20bg1,55.17647059,61.7704918,0.772073922,Female,35.1,
57-22bg2,52.82352941,57.70491803,0.191649555,Female,6,
11-22-1bg2,52.41176471,77.27868852,0.722792608,Male,18.2,
4-22bg2,44.88235294,74.55737705,0.985626283,Male,20.9,
35-22bg2,47.58823529,59.44262295,0.372347707,Female,9.1,
5-21bg1,58.17647059,67.54098361,0.6954141,Male,18.5,
28-22-1bg2,53.11764706,75.14754098,0.224503765,Male,6.3,
2-23-1bg2,52.82352941,55.80327869,0.043805613,Male,5.2,
18-21bg1,48.41176471,66.91803279,0.665297741,Male,23,
25-22bg1,62,64.16393443,0.238193018,Male,4.6,
8-22bg2,48.35294118,62.49180328,0.971937029,Female,21.85,
23-22bg2,50.58823529,66.59016393,0.908966461,Female,20.9,
37-22bg2,49.52941176,59.86885246,0.369609856,Male,11,
45-22bg2,55.70588235,64.49180328,0.298425736,Male,6.6,
1-21-1bg1,56.52941176,57.57377049,0.6954141,Female,21,
17-22-1bg2,46.58823529,63.57377049,0.262833676,Female,4.9,
9-22bg2,45.94117647,63.93442623,0.966461328,Male,19.7,
31-22bg2,62.35294118,64.39344262,0.402464066,Female,10.7,
40-22bg2,57.82352941,62.19672131,0.353182752,Male,9.1,
26-22bg2,70.17647059,58.42622951,0.459958932,Male,19,
25-22bg2,61.41176471,68.75409836,0.613278576,Female,19.2,
32-22bg2,63.58823529,59.90163934,0.402464066,Male,10.7,
29-22-1bg2,61.94117647,58.03278689,0.156057495,Male,9.4,
59-22bg2,58.52941176,56.95081967,0.098562628,Male,7,
9-21bg1,53.88235294,56.62295082,0.678986995,Female,21,
27-22bg2,52.70588235,60.55737705,0.443531828,Female,12.4,
52-22bg2,57.64705882,60.98360656,0.238193018,Male,8.7,
36-22bg2,54.82352941,60.55737705,0.369609856,Male,10.2,
24-22-1bg2,46.29411765,77.3442623,0.238193018,Female,5.2,
15-21bg1,55.88235294,59.1147541,0.668035592,Male,21.5,
44-22bg2,50.35294118,58.42622951,0.325804244,Female,8.2,
1-23bg2,51.05882353,50.16393443,0.043805613,Female,3.7,
23-22-1bg2,42.52941176,63.50819672,0.24366872,Male,9.2,
38-22bg2,67.23529412,58.39344262,0.353182752,Male,8.1,
29-22bg2,62.05882353,62.19672131,0.424366872,Male,17,
22-22bg2,51.64705882,59.1147541,0.257357974,Male,6.1,
6-21bg1,56.47058824,57.63934426,0.692676249,Female,20.5,
56-22bg2,51.29411765,57.80327869,0.197125257,Male,7,
51-22bg2,63.76470588,59.14754098,0.246406571,Male,8.9,
16-21bg1,54.17647059,72.59016393,0.668035592,Male,23.4,
12-21bg1,58.82352941,75.73770492,0.673511294,Male,20,
30-22bg2,53.58823529,66.36065574,0.402464066,Female,9.1,
7-21bg1,59.94117647,67.44262295,0.6954141,Male,23.4,
39-22bg2,53.94117647,64.03278689,0.353182752,Male,8.2,
19-22-1bg2,46.88235294,71.14754098,0.262833676,Male,9.2,
13-22bg2,50.11764706,56.85245902,0.476386037,Female,12.6,
27-22-1bg2,47.52941176,60.16393443,0.224503765,Female,7.2,
34-22bg2,54.58823529,61.90163934,0.399726215,Female,10.2,
41-22bg2,59.35294118,70.13114754,0.350444901,Male,15.7,
47-22bg2,55.41176471,60.55737705,0.298425736,Female,6.6,
12-22bg2,52.64705882,56.26229508,0.725530459,Female,15.4,
20-22bg2,45.41176471,77.14754098,0.257357974,Female,8.6,
53-22bg2,53.29411765,55.47540984,0.238193018,Female,7.3,
28-22bg2,68.52941176,57.57377049,0.443531828,Female,8,
4-21bg1,58.41176471,68.06557377,0.698151951,Male,24.5,
5-22bg2,73.76470588,54.81967213,0.982888433,Male,13,
49-22bg2,65.29411765,54.32786885,0.295687885,Female,8,
33-22bg2,54.47058824,59.04918033,0.399726215,Female,8.4,
55-22bg2,54.70588235,59.57377049,0.202600958,Male,6.9,
58-22bg2,60.47058824,55.37704918,0.191649555,Male,7.8,
54-22bg2,60.70588235,53.31147541,0.232717317,Female,4.9,
46-22bg2,55.05882353,57.37704918,0.298425736,Male,8,
42-22bg2,57.70588235,58.85245902,0.344969199,Female,10.3,
14-22bg2,49.41176471,62.42622951,0.476386037,Female,11.3,
43-22bg2,56.17647059,64.29508197,0.344969199,Female,7.4,
6-22bg2,49.35294118,64.36065574,0.988364134,Female,22.5,
3-22bg2,46.23529412,65.70491803,0.988364134,Male,25,
31-21bg2,52.76470588,60.06557377,1.284052019,Male,31.6,
45-21bg2,47.29411765,60.13114754,1.149897331,Female,25.6,
16-21bg2,50.17647059,62.26229508,1.325119781,Female,19.6,
10-21bg2,49.47058824,60.2295082,1.336071184,Female,24.3,
39-21bg2,51.05882353,60.95081967,1.193702943,Male,21.8,
33-21bg2,53.82352941,59.21311475,1.273100616,Male,36.8,
7-21bg2,51.82352941,63.04918033,1.086926762,Male,25.8,
6-22-1bg2,54.35294118,65.1147541,1.086926762,Male,21.3,
9-20bg1,57.70588235,62.52459016,1.604380561,Female,26.3,
